Date,Movement,Open,High,Low,Close,Volume,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,trend_macd,trend_macd_signal,trend_macd_diff,momentum_rsi
958449600,0,1452.359985,1470.400024,1450.76001,1466.040039,955500000,1485.768855,1386.994158,1436.381506,0,0,-5.370811193,-8.169893318,2.799082124,62.48610311
958536000,0,1466.040039,1466.040039,1441.670044,1447.800049,820500000,1486.293436,1387.088583,1436.69101,0,0,-3.831001651,-7.302114984,3.471113333,54.68533899
958622400,0,1447.800049,1458.040039,1436.589966,1437.209961,807900000,1486.590136,1387.765882,1437.178009,0,0,-3.425253062,-6.526742599,3.101489537,50.46482489
958708800,0,1437.209961,1437.209961,1401.73999,1406.949951,853700000,1487.02785,1384.569159,1435.798505,0,0,-5.480943498,-6.317582779,0.836639281,40.22846938
958968000,0,1406.949951,1410.550049,1368.72998,1400.719971,869000000,1487.887153,1380.795855,1434.341504,0,0,-7.52578463,-6.559223149,-0.966561481,38.3791276
959054400,1,1400.719971,1403.77002,1373.430054,1373.859985,869900000,1485.138059,1373.186953,1429.162506,0,0,-11.18378822,-7.484136163,-3.699652054,31.23576287
959140800,0,1373.859985,1401.75,1361.089966,1399.050049,1152300000,1481.477726,1370.653292,1426.065509,0,0,-11.91365493,-8.370039917,-3.543615016,42.76367955
959227200,0,1399.050049,1411.650024,1373.930054,1381.52002,984500000,1477.548167,1366.242848,1421.895508,0,0,-13.74756832,-9.445545599,-4.302022726,37.69007647
959313600,1,1381.52002,1391.420044,1369.75,1378.02002,722600000,1475.165578,1361.184434,1418.175006,0,0,-15.30681281,-10.61779904,-4.689013771,36.68733067
959659200,0,1378.02002,1422.449951,1378.02002,1422.449951,844200000,1467.863811,1363.906196,1415.885004,0,0,-12.81091151,-11.05642153,-1.754489971,54.44115859
959745600,1,1422.439941,1434.48999,1415.5,1420.599976,960500000,1464.649527,1364.551474,1414.600501,0,0,-10.85697108,-11.01653144,0.159560362,53.71746452
959832000,1,1420.599976,1448.810059,1420.599976,1448.810059,960100000,1468.624025,1363.947984,1416.286005,0,0,-6.95264948,-10.20375505,3.251105571,62.49058934
959918400,0,1448.810059,1483.22998,1448.810059,1477.26001,1162400000,1478.528323,1360.812693,1419.670508,0,0,-1.545574803,-8.472119001,6.926544198,69.26914126
960177600,0,1477.26001,1477.280029,1464.680054,1467.630005,838600000,1483.872285,1358.968731,1421.420508,0,0,1.940321455,-6.38963091,8.329952365,64.70236497
960264000,1,1467.630005,1471.359985,1454.73999,1457.839966,950100000,1487.648073,1358.559935,1423.104004,0,0,3.868522242,-4.33800028,8.206522521,60.05779873
960350400,0,1457.839966,1474.640015,1455.060059,1471.359985,854600000,1493.843714,1358.286291,1426.065003,0,0,6.413421722,-2.187715879,8.601137601,64.15760058
960436800,0,1471.359985,1475.650024,1456.48999,1461.670044,854300000,1496.375546,1363.616459,1429.996002,0,0,7.561358403,-0.237901023,7.799259426,59.13778606
960523200,0,1461.670044,1472.670044,1454.959961,1456.949951,786000000,1499.012382,1365.893612,1432.452997,0,0,7.998101541,1.40929949,6.588802051,56.64668477
960782400,1,1456.949951,1462.930054,1445.98999,1446,774100000,1500.296135,1367.113863,1433.704999,0,0,7.375775595,2.602594711,4.773180884,50.90669935
960868800,1,1446,1470.420044,1442.380005,1469.439941,935900000,1502.580191,1366.537803,1434.558997,0,0,8.673705316,3.816816832,4.856888484,60.7341983
960955200,1,1469.439941,1483.619995,1467.709961,1470.540039,929700000,1503.271814,1366.296179,1434.783997,0,0,9.679496448,4.989352755,4.690143692,61.15528879
961041600,0,1470.540039,1482.040039,1464.619995,1478.72998,1011400000,1507.403857,1365.25713,1436.330493,0,0,11.01043971,6.193570147,4.816869565,64.43185875
961128000,1,1478.72998,1480.77002,1460.420044,1464.459961,1250800000,1509.873505,1365.512482,1437.692993,0,0,10.78951341,7.1127588,3.676754614,55.08965591
961387200,0,1464.459961,1488.930054,1459.050049,1486,921700000,1515.378458,1367.912533,1441.645496,0,0,12.21156122,8.132519285,4.079041939,64.14438813
961473600,1,1486,1487.319946,1470.180054,1475.949951,1031500000,1518.016304,1372.797686,1445.406995,0,0,12.38490561,8.98299655,3.40190906,57.86372869
961560000,0,1475.949951,1482.189941,1468,1479.130005,1009600000,1516.375913,1384.965078,1450.670496,0,0,12.6332305,9.713043339,2.920187157,59.31805709
961646400,0,1479.130005,1479.130005,1448.030029,1452.180054,1022700000,1514.376031,1392.277961,1453.326996,0,0,10.53415731,9.877266134,0.656891178,44.34984616
961732800,1,1452.180054,1459.939941,1438.310059,1441.47998,847600000,1507.639355,1405.010633,1456.324994,0,0,7.91604151,9.485021209,-1.568979699,39.7542368
961992000,0,1441.47998,1459.660034,1441.47998,1455.310059,889000000,1495.96129,1424.417702,1460.189496,0,0,6.877769316,8.96357083,-2.085801515,47.81831729
962078400,1,1455.310059,1463.349976,1450.550049,1450.550049,1042500000,1493.075041,1430.113961,1461.594501,0,0,5.606240305,8.292104725,-2.68586442,45.40474297
962164800,0,1450.550049,1467.630005,1450.550049,1454.819946,1095100000,1488.49597,1438.115028,1463.305499,0,0,4.886735399,7.61103086,-2.724295461,48.11532721
962251200,1,1454.819946,1455.140015,1434.630005,1442.390015,1110900000,1489.099377,1436.869617,1462.984497,0,0,3.275831003,6.743990889,-3.468159885,41.23820187
962337600,1,1442.390015,1454.680054,1438.709961,1454.599976,1459700000,1487.316741,1436.386249,1461.851495,0,0,2.950353997,5.98526351,-3.034909514,49.43049794
962596800,0,1454.599976,1469.579956,1450.849976,1469.540039,451900000,1487.517598,1436.376396,1461.946997,0,0,3.853465178,5.558903844,-1.705438666,57.74721555
962769600,1,1469.540039,1469.540039,1442.449951,1446.22998,1019300000,1487.840841,1434.892155,1461.366498,0,0,2.657715085,4.978666092,-2.320951007,44.55544909
962856000,1,1446.22998,1461.650024,1439.560059,1456.670044,947300000,1486.751679,1434.512322,1460.632001,0,0,2.523374708,4.487607815,-1.964233107,50.40976034
962942400,0,1456.670044,1484.119995,1456.670044,1478.900024,931700000,1488.863973,1434.123027,1461.4935,0,0,4.162623075,4.422610867,-0.259987792,60.62449131
963201600,1,1478.900024,1486.560059,1474.76001,1475.619995,838700000,1490.411636,1434.442368,1462.427002,0,0,5.137851651,4.565659024,0.572192627,58.57051109
963288000,1,1475.619995,1488.77002,1470.47998,1480.880005,980500000,1492.19261,1436.149394,1464.171002,0,0,6.262954752,4.905118169,1.357836583,61.01454671
963374400,1,1480.880005,1497.689941,1480.880005,1492.920044,1001200000,1496.127538,1434.562477,1465.345007,0,0,8.033499278,5.530794391,2.502704887,66.26993035
