Date,Open,High,Low,Close,Volume
6/7/2001,3420.800049,3436.600098,3402.699951,3436.600098,0
6/8/2001,3429.699951,3437.399902,3421,3434.399902,0
6/11/2001,null,null,null,null,null
6/12/2001,3429.399902,3430.5,3392.100098,3401.800049,0
6/13/2001,3396.699951,3401.5,3379.100098,3389.600098,0
6/14/2001,3388.100098,3412,3379.899902,3411.899902,0
6/15/2001,3408.600098,3415.699951,3387.800049,3415.699951,0
6/18/2001,3411.899902,3413.399902,3385,3385,0
6/19/2001,3386.399902,3403.300049,3385.399902,3385.399902,0
6/20/2001,3387.699951,3419.800049,3387.699951,3412.899902,0
6/21/2001,3413.100098,3426.399902,3405.699951,3410.800049,0
6/22/2001,3410.800049,3434.199951,3407.399902,3428.300049,0
6/25/2001,3423,3427.600098,3409,3418.699951,0
6/26/2001,3416.300049,3434.199951,3409.5,3434.199951,0
6/27/2001,3432,3433.800049,3408.600098,3409.800049,0
6/28/2001,3409.899902,3428.100098,3409.899902,3420.5,0
6/29/2001,3420.800049,3490.300049,3420.800049,3490.300049,0
7/2/2001,3484.399902,3484.399902,3429.800049,3438.399902,0
7/3/2001,3440.800049,3457.199951,3440,3450,0
7/4/2001,3451.399902,3452.399902,3420.600098,3429.699951,0
7/5/2001,3424.199951,3427,3374.100098,3377.800049,0
7/6/2001,3374.399902,3374.399902,3345.199951,3353.899902,0
7/9/2001,3349.300049,3349.600098,3317.399902,3342,0
7/10/2001,3342.300049,3358.699951,3331.399902,3356.699951,0
7/11/2001,3353,3383.699951,3349.100098,3378,0
7/12/2001,3378.899902,3394.699951,3369,3392.600098,0
7/13/2001,3397.600098,3410.199951,3393.899902,3396.5,0
7/16/2001,3396.800049,3423.100098,3396.800049,3421.199951,0
7/17/2001,3417.399902,3421,3401.699951,3402.699951,0
7/18/2001,3402.600098,3418.600098,3393.899902,3393.899902,0
7/19/2001,3394.100098,3400.5,3389,3394.399902,0
7/20/2001,3394.800049,3394.800049,3380.600098,3380.699951,0
7/23/2001,3378.899902,3389.199951,3369.699951,3373,0
7/24/2001,3373.100098,3373.100098,3347.899902,3352.600098,0
7/25/2001,3344.899902,3346.100098,3314,3319.199951,0
7/26/2001,3319.100098,3320.100098,3283.399902,3283.399902,0
7/27/2001,3284.800049,3306.100098,3284.800049,3292,0
7/30/2001,3292.100098,3321.100098,3292.100098,3316.600098,0
7/31/2001,3317,3329.699951,3311.199951,3324.5,0
8/1/2001,3324.600098,3374.5,3324.600098,3374.5,0
8/2/2001,3376.899902,3418.899902,3374.800049,3404.100098,0
8/3/2001,3403.300049,3410.199951,3386.800049,3405.399902,0
8/6/2001,3404.600098,3411.199951,3384,3406.699951,0
8/7/2001,3406.100098,3407,3387.199951,3407,0
8/8/2001,3403.100098,3419.699951,3392.600098,3402.600098,0
8/9/2001,3396.399902,3424.800049,3381.300049,3416.800049,0
8/10/2001,3413.5,3416.399902,3401.300049,3401.300049,0
8/13/2001,3402,3406.600098,3383.5,3383.899902,0
8/14/2001,3385.399902,3388.100098,3371.899902,3371.899902,0
8/15/2001,3375.300049,3388.600098,3361.899902,3364.300049,0
8/16/2001,3361.800049,3362.800049,3327.699951,3328.600098,0
8/17/2001,3328.5,3340.100098,3325.699951,3330.399902,0
8/20/2001,3325.699951,3326.300049,3281.100098,3290.5,0
8/21/2001,3290.100098,3319,3290.100098,3319,0
8/22/2001,3313.899902,3314.899902,3287.899902,3311,0
8/23/2001,3313.899902,3324.5,3310.100098,3320.699951,0
8/24/2001,3322.300049,3351,3322,3348,0
8/27/2001,3346.699951,3381.399902,3346.600098,3369.300049,0
8/28/2001,3369.699951,3378.600098,3357.399902,3372.100098,0
8/29/2001,3367.899902,3369.199951,3349.199951,3349.199951,0
8/30/2001,3346.899902,3346.899902,3316.199951,3323.899902,0
8/31/2001,3323.399902,3323.399902,3275.600098,3275.600098,0
9/3/2001,3274,3276.800049,3254.699951,3272.300049,0
9/4/2001,3270.199951,3286.399902,3264.100098,3286.399902,0
9/5/2001,3284.399902,3295,3264.199951,3288.300049,0
9/6/2001,3284.699951,3285.899902,3257,3264.300049,0
9/7/2001,3256,3256.699951,3220,3234.300049,0
9/10/2001,3231,3244.800049,3200.5,3242.600098,0
9/11/2001,3242.199951,3256.600098,3240.899902,3242,0
9/12/2001,3218.899902,3224.100098,3090.199951,3108.5,0
9/13/2001,3113.100098,3170.100098,3113.100098,3126.399902,0
9/14/2001,3126.5,3130.5,3074,3100.800049,0
9/17/2001,3092.399902,3092.399902,2942,2955.300049,0
9/18/2001,2964.100098,3044,2964.100098,3010.100098,0
9/19/2001,3009.5,3034.899902,2986.699951,3034.899902,0
9/20/2001,3026.5,3028,2960.699951,2983,0
9/21/2001,2959.800049,2959.800049,2897.199951,2941.899902,0
9/24/2001,2935.600098,2935.899902,2882.800049,2924.600098,0
