Date,Open,High,Low,Close,Adj Close,Volume
6/9/2010,9475.570313,9487.910156,9378.230469,9439.129883,9439.129883,141600
6/10/2010,9476.780273,9544.040039,9437.469727,9542.650391,9542.650391,116500
6/11/2010,9701.320313,9764.730469,9673.599609,9705.25,9705.25,222400
6/14/2010,9824.929688,9882.049805,9819.950195,9879.849609,9879.849609,97300
6/15/2010,9845.650391,9911.730469,9826.44043,9887.889648,9887.889648,101700
6/16/2010,10043.09961,10109.86035,10033.24023,10067.15039,10067.15039,120300
6/17/2010,10009.25,10053.4502,9989.209961,9999.400391,9999.400391,97600
6/18/2010,10027.98047,10029.11035,9965.160156,9995.019531,9995.019531,98500
6/21/2010,10109.26953,10251.90039,10109.26953,10238.00977,10238.00977,123000
6/22/2010,10131.91016,10183.88965,10105.48047,10112.88965,10112.88965,114900
6/23/2010,9973,9975.009766,9912.799805,9923.700195,9923.700195,102600
6/24/2010,9902.620117,10009.37012,9893.75,9928.339844,9928.339844,94900
6/25/2010,9778.700195,9794.980469,9697.870117,9737.480469,9737.480469,129300
6/28/2010,9758.910156,9762.230469,9679.169922,9693.94043,9693.94043,91600
6/29/2010,9718.400391,9760.019531,9548.980469,9570.669922,9570.669922,106800
6/30/2010,9396.450195,9420.139648,9347.070313,9382.639648,9382.639648,131000
7/1/2010,9296.860352,9297.450195,9147.679688,9191.599609,9191.599609,125400
7/2/2010,9234.55957,9259.139648,9160.469727,9203.709961,9203.709961,115700
7/5/2010,9230,9282.900391,9213.790039,9266.780273,9266.780273,100700
7/6/2010,9158.280273,9351.110352,9091.700195,9338.040039,9338.040039,137400
7/7/2010,9322.55957,9329.639648,9223.799805,9279.650391,9279.650391,120800
7/8/2010,9462.820313,9545.990234,9456.19043,9535.740234,9535.740234,118200
7/9/2010,9601.620117,9610.589844,9516.969727,9585.320313,9585.320313,125200
7/12/2010,9540.469727,9632.889648,9533.55957,9548.110352,9548.110352,123600
7/13/2010,9592.870117,9629.980469,9502.240234,9537.230469,9537.230469,149700
7/14/2010,9707.5,9807.360352,9693.330078,9795.240234,9795.240234,193300
7/15/2010,9701.139648,9726.94043,9667,9685.530273,9685.530273,115900
7/16/2010,9600.879883,9636.839844,9392.209961,9408.360352,9408.360352,134000
7/21/2010,9404.070313,9404.070313,9230.839844,9278.830078,9278.830078,166600
7/22/2010,9216.280273,9254.19043,9176.120117,9220.879883,9220.879883,229600
7/23/2010,9380.120117,9474.110352,9367.299805,9430.959961,9430.959961,157500
7/26/2010,9520.730469,9561.820313,9493.610352,9503.660156,9503.660156,90400
7/27/2010,9512.669922,9541.589844,9487.650391,9496.849609,9496.849609,130700
7/28/2010,9614.469727,9760.30957,9614.469727,9753.269531,9753.269531,148200
7/29/2010,9653.509766,9732.759766,9648.969727,9696.019531,9696.019531,148200
7/30/2010,9658.610352,9658.610352,9505.639648,9537.299805,9537.299805,166200
8/2/2010,9574.639648,9676.410156,9548.860352,9570.30957,9570.30957,135600
8/3/2010,9716.570313,9750.879883,9632.860352,9694.009766,9694.009766,138600
8/4/2010,9606.820313,9613.129883,9474.669922,9489.339844,9489.339844,119300
8/5/2010,9640.339844,9688.870117,9578.30957,9653.919922,9653.919922,128800
8/6/2010,9560.650391,9658.040039,9545.410156,9642.120117,9642.120117,112100
8/9/2010,9535.509766,9572.830078,9523.629883,9572.490234,9572.490234,87800
8/10/2010,9629.969727,9667.040039,9505.339844,9551.049805,9551.049805,107100
8/11/2010,9423.030273,9445.040039,9283.599609,9292.849609,9292.849609,111600
8/12/2010,9125.490234,9212.589844,9065.94043,9212.589844,9212.589844,142300
8/13/2010,9214.80957,9278.459961,9163.25,9253.459961,9253.459961,121800
8/16/2010,9145.219727,9210.969727,9095.94043,9196.669922,9196.669922,97000
8/17/2010,9089.849609,9188.480469,9084.240234,9161.679688,9161.679688,91500
8/18/2010,9261.5,9280.589844,9153.419922,9240.540039,9240.540039,118400
8/19/2010,9242.839844,9362.679688,9242.839844,9362.679688,9362.679688,120200
8/20/2010,9239.360352,9287.5,9169.169922,9179.379883,9179.379883,112000
8/23/2010,9147.240234,9171.419922,9090.959961,9116.69043,9116.69043,93600
8/24/2010,9024.599609,9069.219727,8983.519531,8995.139648,8995.139648,111300
8/25/2010,8904.44043,8949.410156,8807.410156,8845.389648,8845.389648,133900
8/26/2010,8908.019531,8910.620117,8834.089844,8906.480469,8906.480469,104800
